param,value,Average of failure per month__mean,Average of failure per month__std,Stability per month__mean,Stability per month__std,Average of replacement per month__mean,Average of replacement per month__std,Preventive Effectiveness Ratio (PER)__mean,Preventive Effectiveness Ratio (PER)__std,Précision du détecteur__mean,Précision du détecteur__std,Taux de détection (Rappel)__mean,Taux de détection (Rappel)__std,Average cost of one system__mean,Average cost of one system__std,Standard Deviation__mean,Standard Deviation__std,k
sigma,8.4,1.1558333333333333,0.08017096358358455,0.4466069436868631,0.10209266862927874,1.2646969696969699,0.1505847697488638,1.09507733007733,0.11554102958119647,0.9430000000000002,0.09214119599831552,0.355,0.12527746981977422,27955.0,6282.093157892873,10783.37841309485,1549.9999999999993,0.05
sigma,16.8,1.2597222222222224,0.1390602684142697,0.46719540192230513,0.1447206832482951,1.2916666666666665,0.21025665611987154,1.0278914141414144,0.13006611940849372,0.8240000000000001,0.14953260514014996,0.32,0.06863753427324668,28957.5,6610.703127000435,3277.5753233144774,,0.1
sigma,25.2,1.3720238095238098,0.2861522492055088,0.5674067054911113,0.2277571664931435,1.537121212121212,0.4950197074503274,1.1077607115107113,0.19166174599924907,0.8779999999999999,0.16470849671127744,0.273,0.11795008360413409,31575.0,4924.612223876674,10441.610135521352,3855.0832243502437,0.15
sigma,42.0,1.3360714285714288,0.23413508864100277,0.544608456987148,0.1254290606750977,1.3583333333333334,0.1946263742888396,1.032996632996633,0.15977626393329813,0.756,0.19155503995805834,0.283,0.11566714697306615,26715.0,7520.861726631538,16846.819061769496,2602.8029762802507,0.25
sigma,58.8,1.2912085137085136,0.24902920340798154,0.5549219730060706,0.26704726172692106,1.4772727272727273,0.4278496236758225,1.1340786827551534,0.1785941684226502,0.728,0.30414908624992887,0.304,0.14268847185389577,27491.666666666664,6425.192748225679,10484.821517595376,5094.520072588108,0.35
