eta,beta,expiration,mu,sigma,theta,inspection_deviation,inspection_threshold,r,nu,replacement,inspection,component,failure,n_systems,date_first,date_final,id_0_component,id_0_system,output_data_filepath,avg_fail_m,avg_fail_t,avg_fail_y,std_fail_m,std_fail_t,std_fail_y,avg_repl_m,avg_repl_t,avg_repl_y,std_repl_m,std_repl_t,std_repl_y,avg_fail_syst_total,avg_fail_syst_m,avg_fail_syst_t,avg_fail_syst_y,avg_repl_syst_total,avg_repl_syst_m,avg_repl_syst_t,avg_repl_syst_y,PER,Precision,Recall,cost_per_syst,Std_per_syst,cost_fleet_m,avg_cost_syst_m,cost_fleet_t,avg_cost_syst_t,cost_fleet_y,avg_cost_syst_y
720,3,792.0000000000001,168,25.2,12,0.05,0.5,0.0005,5e-05,1000,100,100,1200,250,2010-01-01,2025-12-31 12:00,0,0,sample_system_dataset_0.csv,134.63,398.29,1593.2,61.79,191.01,788.29,211.43,634.29,2537.2,100.97,305.58,1262.78,14.0,1.219,2.3,6.31,21.94,1.255,3.38,9.7,1.57,0.8,0.41,47129.14,31491.9,438408.33,2400.38,1315225.0,6477.15,5260900.0,17814.38
720,3,792.0000000000001,168,25.2,12,0.05,0.5,0.0005,5e-05,1000,100,100,1200,100,2010-01-01,2025-12-31 12:00,0,0,sample_system_dataset_1.csv,63.61,188.83,755.3,17.68,53.74,209.64,99.76,299.28,1197.1,28.69,84.87,337.16,17.77,1.224,2.35,6.61,28.0,1.256,3.44,10.23,1.57,0.81,0.41,60328.74,35739.14,207120.31,2459.74,621360.94,6789.82,2485443.75,19790.27
