param,value,Average of failure per month__mean,Average of failure per month__std,Stability per month__mean,Stability per month__std,Average of replacement per month__mean,Average of replacement per month__std,Preventive Effectiveness Ratio (PER)__mean,Preventive Effectiveness Ratio (PER)__std,Précision du détecteur__mean,Précision du détecteur__std,Taux de détection (Rappel)__mean,Taux de détection (Rappel)__std,Average cost of one system__mean,Average cost of one system__std,Standard Deviation__mean,Standard Deviation__std
mu,72.0,1.1185714285714285,0.13079861101705526,0.4232687285714761,0.061638200540137696,1.225,0.0882791587892817,1.1050727513227514,0.11909863937083469,0.639,0.1608622599203016,0.514,0.1991760806701224,32870.0,5222.611096632284,19374.725804511403,
mu,120.0,1.2888095238095238,0.19946088209727852,0.46153878769222867,0.1816872165223049,1.2787878787878788,0.26286411140975113,0.9934544853294854,0.11685706894665582,0.723,0.21556386009203346,0.314,0.0934760813137659,30105.0,6165.065107342969,15379.572490807408,8850.000000000002
mu,168.0,1.3720238095238098,0.2861522492055088,0.5674067054911113,0.2277571664931435,1.537121212121212,0.4950197074503274,1.1077607115107113,0.19166174599924907,0.8779999999999999,0.16470849671127744,0.273,0.11795008360413409,31575.0,4924.612223876674,10441.610135521352,3855.0832243502437
mu,240.0,1.2968434343434343,0.1658971218993051,0.5807581460889681,0.13850563685584652,1.35,0.15994240622438446,1.0465283947954402,0.10281431781998245,0.9339999999999999,0.13914021704740867,0.257,0.08718435129718584,26835.0,7793.196819448785,17836.76855543066,2320.470498268257
mu,336.0,1.3897402597402597,0.25245474587751904,0.5307810304728219,0.20905104042053008,1.4101515151515154,0.3421656975131161,1.01975965007215,0.1750778464878315,0.9490000000000001,0.08211780156174017,0.314,0.11927559124425528,25770.0,3260.129513446428,9428.090415820634,10115.91155885947
